"","methanotrophy","methanogenesis_by_CO2_reduction_with_H2","methanogenesis_by_reduction_of_methyl_compounds_with_H2","hydrogenotrophic_methanogenesis","methanogenesis","methanol_oxidation","methylotrophy","aerobic_ammonia_oxidation","aerobic_nitrite_oxidation","sulfate_respiration","sulfur_respiration","nitrate_denitrification","chitinolysis","dark_hydrogen_oxidation","nitrogen_fixation","cellulolysis","xylanolysis","dark_sulfide_oxidation","dark_oxidation_of_sulfur_compounds","manganese_oxidation","fermentation","aerobic_chemoheterotrophy","invertebrate_parasites","human_pathogens_septicemia","human_pathogens_pneumonia","human_pathogens_gastroenteritis","human_pathogens_diarrhea","human_pathogens_all","human_gut","animal_parasites_or_symbionts","plant_pathogen","aromatic_hydrocarbon_degradation","aromatic_compound_degradation","aliphatic_non_methane_hydrocarbon_degradation","hydrocarbon_degradation","iron_respiration","nitrate_respiration","nitrate_reduction","intracellular_parasites","chlorate_reducers","predatory_or_exoparasitic","nonphotosynthetic_cyanobacteria","photosynthetic_cyanobacteria","anoxygenic_photoautotrophy_S_oxidizing","photoheterotrophy","ureolysis"
"RM304Inner.16S.S64",0,0,2.6,2.6,0,0,2.6,0,0,0,0,0,0,0,0,0.2,0,0,0,0,31.94,6.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0
"RM304Mineral.16S.S64",1.6,0,0,0,0,0,1.6,0,0,0,0,0,0,8.74,1.6,3.69,0,0,0,0,0.51,35.06,0.51,0,0,0,0,0,0,2.66,0,0,0,0,0,0,0,0.43,0.94,0,0.31,0.17,0,0,0,0
"RM304Organic.16S.S65",0.6,0,0,0,0,0,0.6,0,0,0,0,0,0,7,0.6,1.23,0,0,0,0,0.23,30.29,0,0,0,0,0,0,0,1.17,0,0,0,0,0,0,0,0,1.26,0,1.14,0.57,0,0,0,0
"RM4Inner.16S.S65",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0,0,0,0,26.43,28.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RM4Mineral.16S.S65",0,0,0,0,0,0,0,0,0,0,0,0,0,8.6,0,4.91,0,0,0,0,0,30.34,0,0,0,0,0,0,0,2.66,0,0,0,0,0,0,0,1.17,1.17,0,0,0.26,0,0,0.66,0
"RM4Organic.16S.S66",0,0,0,0,0,0,0,0,0,0,0,0,0,2.97,0,3.34,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0,0.54,0,0.34,0.6,0,0,0.26,0
"RM4Outer.16S.S66",0,0,0,0,0,0,0,0,0,0,0,0,0,4.31,0,8.83,0,0,0,0,1.71,37.31,0,0,0,0,0,0,0,0.37,0,0,0.37,0,0,0,0,0,0,0,0,0,0.26,0,0,0
"RM5Inner.16S.S68",0,0,4.26,4.26,0,0,4.26,0,0,0,0,0,0,0.43,0,0,0,0,0,0,11.17,12.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RM5Mineral.16S.S68",0,0,0.34,0.34,0,0,0.34,0,0,0,0,0,0,4.06,0,6.63,0,0,0,0,0,26.86,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0.31,1.23,0,0.11,0.2,0,0,0.46,0
"RM5Organic.16S.S69",0,0,0,0,0,0,0,0,0,0,0,0,0,2.94,0,6.46,0,0,0,0,0,23.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0,0,1.43,0,0.26,1.06,0,0,0,0
"RM5Outer.16S.S69",0.37,0,0,0,0,0.37,0,0,0,0,0,0.51,0,3.34,0,2.49,0,0,0,0,0.83,29.97,0,0,0,0,0,0.83,0.83,0.11,0,0,0.11,0,0,0,0,0.83,0.77,0,0.51,0.66,0,0.51,0.51,0.37
"RM501Inner.16S.S66",0.23,0.69,0,0.69,0,0.23,0,0,0,0,0,0,0,0.69,0,0,0,0,0,0,57.6,61.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0.31,0,0,0.23
