"","Pathotroph","Saprotroph","Symbiotroph","Bryophyte Parasite","Dung Saprotroph","Ectomycorrhizal","Fungal Parasite","Leaf Saprotroph","Plant Parasite","Wood Saprotroph","Animal Pathogen","Endophyte","Plant Pathogen","Lichen Parasite","Litter Saprotroph","Soil Saprotroph","Plant Saprotroph","Epiphyte","Lichenized","Arbuscular Mycorrhizal","Endomycorrhizal","Ericoid Mycorrhizal","Orchid Mycorrhizal","Root Associated Biotroph","Clavicipitaceous Endophyte","Animal Endosymbiont"
"WA1Organic.ITS.S997",24.73,41.17,26.18,0.17,8.55,3.75,11.65,3.02,0,18.35,9.93,18.62,13.38,0.62,8.58,11.3,0.38,0.22,0.03,0.52,0.6,0.05,0,0,1.95,0
"WA1Outer.ITS.S999",14.5,34.27,9.22,0,0.8,0.38,3.05,0.03,0,6.1,8.53,5.53,10.75,1.43,0.07,0.65,0.6,0.6,3.4,0,0,0,0,0,0.68,0.03
"WA10Mineral.ITS.S963",16.38,35.65,40.4,0.03,2.22,22.02,11.28,0.75,0.03,3.65,6.92,11.43,3.8,0.05,3.72,10.7,0.2,0.17,0,0.28,0,0.72,0.5,0.5,5.2,0
"WA10Organic.ITS.S965",19.28,46.42,38.88,4,14.55,22.85,11.97,6.9,4,17.32,4.95,10.9,5.55,0.58,8.93,11.28,0.95,0.72,0,0.17,0,0.6,0.75,0.68,1.83,0
"WA10Outer.ITS.S967",5.1,3.9,3,0,0,0,0.42,0,0,0.28,2.95,0.42,1.73,1.75,0,0,0,0,2.58,0,0,0,0,0,0.42,0
"WA101Inner.ITS.S931",16.45,11.75,7.3,0,0,0,6.18,0,0,5.42,10.28,5.85,7.32,5.42,0,0,0,0,1.45,0,0,0,0,0,0,0
"WA101Mineral.ITS.S933",8.85,41.55,30.55,1.02,4.05,9.6,5.82,1.05,1,11.45,3.35,7.78,1.7,0.15,5.9,10.28,7.12,0.62,0,0.2,0,0.4,0.07,0,0.8,0
"WA101Organic.ITS.S935",21.02,52.05,31.38,0.82,5.85,11.43,12.07,5.03,0.82,13.03,8.72,17.98,9.97,0.9,8.55,8.7,0.1,0.7,0,0.12,0.03,0.15,0.28,0,5.45,0
"WA101Outer.ITS.S937",10.78,11.97,3.1,0,0.58,0,1.75,0,0,1.12,4,1.7,9.12,1.05,0,0,0.45,0,1.4,0,0,0,0,0,0,0
"WA102Outer90a.ITS.S941",0.22,86.5,0.12,0,0,0,0.1,0,0,0.17,0.15,0.1,0.17,0,0,0,0,0,0.03,0,0,0,0,0,0.05,0
"WA102Outer91a.ITS.S943",12.72,14.15,6.4,0,0,0.8,0.98,0.4,0,8.88,3.62,1.73,6.62,3.5,0,0,0,0,3.88,0,0,0,0,0,0.98,0
"WA103Outer.ITS.S947",2.4,6.22,0,0,0,0,0,0,0,2.92,2.4,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0
"WA103starInner.ITS.S949",17.2,56.52,32.15,0,0.2,0,13.85,1.38,0,19.82,1.4,30.75,15.15,0,2.78,2.78,0.6,0,0.48,0,0,0.92,0,0,0.38,0
"WA103starOuter.ITS.S951",9.7,15.07,7.25,1.18,1.18,1.7,2.92,1.3,1.18,7,2.9,2.38,5.18,1.08,0.72,2,0,1.73,1.15,0,0,0,0,0,1.55,0
"WA104Mineral.ITS.S955",13.47,49.2,51.33,0.52,13.25,26.4,7.6,0.85,0.52,8.47,5.97,14.07,2.7,0.42,16.47,15.7,0.38,1.62,0,0.35,0,0.22,0,0,0.72,0
"WA104Organic.ITS.S957",20.9,52.65,41.95,3.78,21.7,19.25,15.8,4.38,3.72,16.35,6.2,17.1,5.85,0.22,19.3,9.95,0.58,1.7,0.05,0.32,0,0.25,0,0,2.67,0
"WA104Outer.ITS.S959",8.12,22.45,14.88,0,0,2.88,6.25,0,0,12.53,2.6,11.03,7.58,0.05,0,0,1.77,0,0.05,0,0,0,0,0,0,0
"WA12Inner.ITS.S969",8.93,68.65,13.03,0,19.02,0,0,0,0,66.83,8.93,8.93,0,0,0,8.93,8.93,4.1,0,0,0,0,0,0,0,0
"WA12Mineral.ITS.S971",23.27,53.88,30.62,1.12,6.25,1.9,18.25,1.18,1.12,13.38,5.62,18.95,9.65,1.73,8.78,15.78,0.75,0.65,0,0.75,0,0.3,0,0,0.52,0.03
"WA12Organic.ITS.S973",20.95,52.38,22.3,0.15,5.08,0.48,13.75,0.8,0.1,16.4,8.45,15.68,8.82,0.98,6.2,6.6,0.55,0.85,0,0.82,0,0.55,0,0,1.62,0
"WA12Outer.ITS.S975",33.3,10.88,3.78,0,0,0,0.03,0,0,1.48,4.2,2.5,33.27,1.5,1.02,2.5,0,0,1.27,0,0,0,0,0,0,0
"WA14Inner96c.ITS.S977",17.15,33.62,0,0,1.27,0,0,0,0,16.47,17.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WA14Outer96a.ITS.S981",1.45,2.12,1.95,0,0,0,0,0,0,0,0,1.45,1.45,1.45,0,0,0,0.5,0,0,0,0,0,0,0,0
"WA14Outer97a.ITS.S983",1.4,1.38,0,0,0,0,0,0,0,0.62,0.52,0,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0
"WA15Inner.ITS.S985",1.6,97.95,0.68,0,0,0,0,0,0,0,0.2,0.35,1.4,0.35,0,0,0,0,0.32,0,0,0,0,0,0,0
"WA15Mineral.ITS.S987",21.82,57.17,39.12,0.4,5.08,7.53,15.2,0.55,0.38,8.45,5.5,14.85,4.82,0.3,10.97,14.7,0.17,0.58,0,0.15,0.03,0.12,0,0,1.4,0.03
"WA15Organic.ITS.S989",14.93,50.42,26,0.55,8.38,8.5,9.15,0.9,0.55,11.25,5.1,13.55,5.3,0.5,9.6,8.45,0.9,0.6,0.03,0.38,0,0.08,0.05,0,2.15,0
"WA15Outer.ITS.S991",22.88,12.4,14.62,0,1.2,0,3.2,0,0,0.32,5.1,5.2,15.4,4.08,0.48,0.3,0,0,9.6,0,0,0,0,0,1.65,0
"WA5Inner.ITS.S1001",0.92,2.48,1.52,0,0,0,0,0,0,0.25,0.25,0.48,0.68,0,0,0,0,0,1.05,0,0,0,0,0,0,0
"WA5Mineral.ITS.S1003",14.22,31.73,55.4,0.03,10.97,41.6,7.25,0,0,4.35,5.32,10.05,5.82,0.68,12.25,7.53,0.4,0.22,0,0.05,0.03,0.4,3.88,3.88,2.52,0
"WA5Organic.ITS.S1005",22.7,48.38,43.12,0.05,18.42,21.95,9.25,5,0,14.88,8.3,14.85,10.85,1.02,16.75,13.12,0.42,0.38,0.03,0.17,0,0.42,6.1,6.1,3.38,0.1
"WA5Outer.ITS.S1007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WAX1Outer.ITS.S1011",8.4,10.62,4.15,0,0.32,0,0.45,0,0,5.25,1.8,3.2,8.05,2.78,0,0.7,0,0,0.8,0,0.28,0,0,0,0,0.12
"WO1Mineral.ITS.S1017",20.45,37.58,45.77,0.03,0.92,30.6,2.8,0.05,0.03,5.95,0.62,8.28,13.6,0.15,7.25,20.2,4.58,0.28,0,0,0,4.45,0.2,0.03,0.22,0
"WO1Organic.ITS.S1019",11.45,13.9,63.3,0,0.88,59.98,1.62,0.28,0,7.65,0.45,3.08,9.28,0.03,1.95,3.05,4.32,0.3,0,0,0.05,2.42,1.15,0,0,0
"WO1Outer.ITS.S1021",6.62,34.27,0.9,0,0.28,0,0.48,0,0,0.43,0.38,0.1,6.18,0.05,0,0,0,0.65,0,0,0,0,0,0,0,0
"WP101Inner.ITS.S1023",35.5,74.67,0,0,32.88,0,0,16.32,0,48.77,19.55,0,30.35,0,5.97,0,0,0,0,0,0,0,0,0,0,0
"WP101Mineral.ITS.S1025",27.23,34.8,47.27,0,1.48,25.68,4.8,0.5,0,5.42,4.1,14.3,15.7,0.05,9.75,14.78,3.05,0.15,0.03,0,0.05,6.38,1.38,1.23,3.08,0
"WP101Organic.ITS.S1027",28.82,25.65,52,0,3,40.23,3.98,0,0,13.18,6.18,8.47,17.92,0.05,5.82,8.07,8.03,0.3,0.05,0,0,4.28,1.12,0.08,1.95,0
"WP101Outer.ITS.S1029",44.9,54,4.42,0,6.03,0.28,2.17,0,0,12.45,24.35,3.28,42.02,0.95,0.7,0.7,16.7,0.03,0.88,0,0,0,0,0,1.85,0
"WP102Inner.ITS.S1031",0.6,0.78,0,0,0.25,0,0.35,0,0,0.25,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0
"WP102Outer.ITS.S1033",9.07,14.1,6.5,0,3.83,0.35,3,0,0,4.5,6.32,2.8,4.9,1.62,0,0.1,0.05,0.07,3.35,0,0,0,0,0,2.28,0
"WP103Inner.ITS.S1035",37.23,54.9,22.12,0,4.3,2.88,25.62,0,0,23.38,34.77,11.38,10,7.15,0,3.65,0,0,7.88,0,0,0,0,0,0.2,0
"WP103Mineral.ITS.S1037",18.7,34.2,56.95,0,2,38.48,2.4,0.03,0,9.1,1.07,11,11.3,0,8.85,13.03,6.18,0.28,0,0,0,5.3,3.33,3.25,0.48,0
"WP103Outer.ITS.S1041",32.3,26.38,24.3,0,3.22,0.1,12.2,0,0,13.03,21.98,15.57,20.15,9.3,0.75,7.15,0.92,0.15,8.55,0,0,0,0,0,5.45,0
"WP2Inner.ITS.S1043",6.5,60.45,1.4,0,0.28,0.35,0.62,0,0,4.88,2.8,0.95,4.47,0.3,0.38,0.38,1.15,0.28,0.1,0,0,0,0,0,0,0
"WP2Mineral.ITS.S1045",5.42,28.6,48.5,0,0.2,42.52,1.57,0,0,8.4,1.2,4.02,2,0.03,2.65,10.5,6.45,0.07,1.45,0,0,1.85,0.75,0.65,0.8,0
"WP2Organic.ITS.S1047",9.4,20.45,60.08,0,0.32,54.08,3.78,0.05,0,8.95,2.32,4.35,3.65,0.03,2.1,7.32,7.15,0.12,0.58,0,0,2.15,0.45,0,1.65,0
"WP2Outer.ITS.S1049",50.62,33.62,7.53,0,0,0,3.38,0,0,1.18,32.83,3.55,44.3,2.2,0.1,0.1,0.42,1.75,3.88,0,0,0,0,0,1.3,0
"WP3Inner.ITS.S1051",12.28,22.25,15.98,0,0.65,0.5,2.78,0,0,6.82,7.03,5.42,8.6,0.5,0.42,0.42,0,0.22,9.93,0,0,0,0,0,1.75,0
"WP3Organic.ITS.S1053",6.53,28.68,69.25,0.03,0.4,65.45,1.48,0.08,0,19.3,1.15,3.25,4.03,0.05,2.07,5.65,6.45,0.25,1.5,0,0.03,1.2,1.27,0.8,0.45,0
"WP3Outer.ITS.S1055",0.98,91.82,1.3,0,89.35,0,0.3,0,0,90.53,0.7,0.42,0.8,0.17,0,0,0,0,0.88,0,0,0,0,0,0.05,0
"WP4Inner.ITS.S1077",49.8,53.97,14.85,0,1.98,2.22,5.78,0,0,19.08,37.62,10.28,40.57,3.15,2.02,0.45,0.62,1.3,1.32,0,0,0.12,0.12,0,4.47,0
"WP4Organic.ITS.S1079",11.15,26.15,62.27,0,0.58,54.8,1.68,0.68,0,13.82,1.05,4.9,6.9,0.08,3.72,6.45,10.55,0.05,1.57,0,0,2.98,1.83,1.23,0.5,0
"WP4Outer.ITS.S1081",50.92,47.33,22.18,0.2,1.05,1.03,19.53,0,0,14.75,42.4,18.32,30.25,0.3,0.43,0.7,0.62,2.65,2.83,0,0,0,0,0,14.93,0.05
"WP401Inner.ITS.S203",17.48,68.85,30.95,0,1.98,0,3.67,1.05,0,17.27,8.9,29.2,12.95,0,21.73,21.5,0,0,1.75,0,0,0,0,0,3.33,0
"WP401Mineral.ITS.S1057",16.88,35.67,60.05,0,3.08,39.77,4.52,0,0,8.78,1.45,8.45,7.68,0.05,6.9,8.05,4.22,0.12,0,0,0.05,5.88,1.23,1.23,0.05,0
"WP401Organic.ITS.S1059",11.65,17.68,67.75,0.08,3.85,62.33,1.73,0.45,0.05,9.2,3.45,2.92,4.42,0.1,1.85,2.6,1.9,0.28,0.1,0,0,3.38,0.52,0.03,0.03,0
"WP401Outer.ITS.S206",20.2,29.92,7.7,0,1.83,0,3.48,0,0,4.35,7.65,5.5,15.5,3.02,1.8,2.12,11.28,0.32,1.88,0,0,0,0,0,0.72,0
"WP402Mineral.ITS.S1063",21.15,36.62,46.98,0.03,1.38,30.5,1.6,0.03,0.03,6.58,0.58,4.53,16.8,0.3,3.83,11.07,2.58,0.12,0,0,0,3.3,0.15,0.03,0.07,0
"WP402Organic.ITS.S1065",10.72,19,66.67,0.05,1.32,61.8,2.05,0.22,0,7.1,0.3,3.33,6.08,0,2.48,3.35,2.22,0.22,0,0,0,4.05,1.25,0,0,0
"WP402Outer.ITS.S1067",15.45,44.27,5.75,0.32,1.48,0.38,9.55,0.32,0.32,5.6,10.4,2.12,5.82,0.1,1.5,1.55,0.07,0.15,1.88,0,0,0,0,0,0.15,0
"WP403Inner.ITS.S1069",11.05,23.02,8.22,0,0,0,7.18,0,0,4.65,7.72,3.8,7.68,0,0,0,4,0,4.25,0,0,0,0,0,0,0
"WP403Mineral.ITS.S1071",25.55,33.23,53.33,0.5,2.17,32.45,2.1,0.5,0.5,6.22,0.78,7.78,16.7,0.05,6.62,9.28,3.33,0.15,0.22,0,0,7.12,0.58,0.58,0.22,0
"WP403Organic.ITS.S1073",28.27,32.92,57.85,0.12,3.48,51.05,16.38,0.12,0.05,19.85,5.4,6.3,8.4,0.12,4.05,2.22,14.6,0.38,0,0,0.03,4.25,1.95,0,0.03,0
"WP403Outer.ITS.S1075",7.75,39.73,5.88,0,0.15,0,2.88,0,0,3.28,3.48,2.9,4.35,0.7,0.65,0.65,1.1,1,2.43,0,0,0,0,0,0.6,0
"WP5Inner.ITS.S1083",10.47,13.12,4.55,0,0.1,2.83,11.18,0,0,2.98,8.47,0.45,4.6,0.4,0,0,1.43,0,1.28,0,0,0,0,0,0.4,0
"WP5Mineral.ITS.S1085",6.72,25.45,58.98,0,0.45,49.67,3.55,0.05,0,5.28,2.75,8.22,2.45,0.03,4.85,7.42,4.98,0.28,0.07,0,0,0.98,1.82,1.73,2.45,0
"WP5Organic.ITS.S1087",3.95,13.1,71.62,0,0.22,68.08,1.18,0.12,0,6.7,0.8,3.2,1.38,0,2.15,1.3,5.6,0.17,0.25,0,0,2.15,1.02,0,0.28,0
"WP5Outer.ITS.S1089",15.28,85.9,17.32,0,41.88,0.2,13.7,0,0,43.9,15.12,16.98,0.2,0,0,1.62,1.82,0,0,0,0,0.15,0,0,13.5,0
"WP6Inner.ITS.S1091",34.4,41.58,13.7,0,6.18,1.68,8.35,0,0,15.32,13.23,8.35,21.18,0,0,0,1.77,0,0,0,3.67,0,0,0,8.35,0
"WP6Mineral.ITS.S1093",27.3,27.9,45.6,0.32,2.67,31.68,2.15,0.32,0.32,6.92,1.35,7.15,18.38,0.05,5.7,12.05,4.1,0.07,0,0,0,5.8,1.52,1.48,0.1,0
"WP6Organic.ITS.S1095",12.3,19.65,64.83,4.12,5.3,61.65,6.08,4.15,4.08,9.3,0.25,2.15,4.62,0,1.65,7.85,3.1,0.07,0,0,0,1.95,0.55,0.07,0,0
"WP7Inner.ITS.S209",22.58,45.62,15.78,0,0.52,0,12.05,0,0,15.43,18,14.6,9.88,1.68,6.82,7.78,0.38,0,0,0,0.38,0,0,0,2.62,0
"WP7Mineral.ITS.S1097",24.9,43.17,40.67,0,1.65,26.15,1.32,0,0,4.65,0.72,7.45,17.3,0,6.55,25.23,2.78,0.07,0,0,0,6.22,0.05,0,0.35,0.12
"WP7Organic.ITS.S1099",8.55,29.38,60.6,0,1.55,56.8,0.7,0.9,0,3.95,0.17,2.25,5.82,0,2.3,20.73,1.57,0.25,0,0,0.05,2.3,0.4,0,0,0
"WP7Outer.ITS.S212",28.73,61.2,21.92,0,2.95,2.2,19.9,2.2,0,10.97,25.8,21.73,8.45,1,15.12,15.12,1.45,0,1.27,0,0,0.55,1.02,1.02,1.07,3.28
"WP8Inner.ITS.S1101",28.68,38.27,7.25,0,5.22,0,10.28,0,0,13.2,16,4.68,14.72,3.53,0,2.52,4.25,1.65,2.58,0,0,0,0,0,1.82,0
"WP8Mineral.ITS.S1103",14.7,54.9,55.52,0.03,0.78,22.38,1.45,0.03,0.03,1.7,0.7,9.2,10.28,0.03,8.05,24.68,0.62,0.05,0,0,0,3.12,0.03,0.03,0.55,0
"WP8Organic.ITS.S1105",10,19.32,61.5,0.6,1.48,56.5,2.98,0.6,0.6,4.85,0.22,3.35,5.2,0,3.05,11.93,3.2,0.17,0,0,0,1.88,0.12,0,0,0
"WP8Outer.ITS.S1107",33.15,41.38,9.65,0,0.3,0.12,17.7,0.12,0,15.88,22.9,4.45,11.8,3.33,0.28,0.28,3.72,0.17,5.12,0,0,0,0,0,3.48,0.07
"WP9Inner.ITS.S1109",24.52,39.65,11.43,0,0.15,0.8,6.88,0.07,0,18.1,8.1,3.42,13.6,4.7,0.5,0.03,6.53,0.15,7.08,0,0,0,0,0,2.15,0
"WP9Mineral.ITS.S1111",28.15,34.62,48.65,1.52,1.8,31.88,2,1.52,0,5.75,1.25,11,20.05,0,9.3,14.15,2.02,0,0,0,0,4.62,0.07,0.07,0.77,0
"WP9Organic.ITS.S1113",13.85,25.58,60.67,0.1,1.32,52.42,4.15,0.1,0,9.1,0.8,5.05,6.18,0.15,3.85,4.05,3.92,0.42,0.1,0,0.03,4.42,0.9,0,0.17,0
"WP9Outer.ITS.S1115",19.35,19.27,52.12,0,1.3,3.67,4.22,1.4,0,8.1,4.32,2.48,12.97,3.22,1.83,1.83,0.82,3.05,44.33,0,0,0,0,0,0,0
"WPBereniceMineral.ITS.S1119",10.1,37.65,33.42,0.6,4.9,21.4,4.7,0.6,0.6,5.88,3.05,8.53,3.5,0.38,6.45,19,0.98,0.28,0,0.42,0,0.17,0,0,0.75,0
"WPBERENICEInner.ITS.S1117",35.65,57.5,7.18,0,2.02,0.2,25.32,0,0,29.4,31.23,5.65,8.05,0.8,0,0.17,1.9,0.4,0.95,0,0.1,0.28,0,0,4.22,0
"WPBERENICEOrganic.ITS.S1121",15.95,40.52,27.45,0.92,4.35,11.28,11.93,1.1,0.8,12.28,2.75,13.93,8.08,0.5,6.53,12.1,1.02,0.58,0.58,0.35,0.07,0.38,0,0,0.68,0.05
"WPBERENICEOuter.ITS.S1123",30.5,31.82,20.98,0,0.03,0.15,10.15,0,0,4,18.85,9.9,21.27,1.82,1.15,1.65,8.53,0.3,10.5,0,0,0,0,0,4.6,0
"WPX2Inner.ITS.S1129",47.2,40.75,16.95,0,2.65,0.9,13.85,0.5,0,11.2,29.35,13.4,25.9,5.72,1.23,3.08,0.68,4.45,2.3,0,0,0,0.45,0,0.58,0.7
"WPX2Mineral.ITS.S1131",21.08,49.42,33.88,0.22,11.28,5.78,13.05,0.15,0.05,17.4,3.28,17.65,8.12,0.2,12.22,17.02,0.4,0.82,0,0.42,0.25,0.9,0.25,0,0.82,0
"WPX2Organic.ITS.S1133",23.9,55.83,16.65,0.28,5.68,2.75,8.25,8.95,0.03,30.23,4.53,10.8,15.93,0.65,5.2,6.5,1.18,0.4,0,0.2,0,0.25,0.05,0,2.78,0
"WPX22Inner.ITS.S1125",39.85,32.05,25.38,0,6.3,0,16.92,0,0,18.3,26.48,15.62,22.1,13.55,0,7.92,0.48,0,8.2,0,0,0,0,0,3.62,0
"WPX22Outer.ITS.S1127",53.17,43.3,23.18,0,2.83,0,9.38,0,0,25.6,43.48,18.98,24.27,15.05,0,9.65,1.25,0,2.38,0,0,0,0,0,2.7,0
"WPX5Inner.ITS.S1135",3.98,87.95,2.45,0,0,0,0.12,0,0,86.12,2.78,1.68,3.62,1.6,0,0,0,0,0.98,0,0,0,0,0,0,0.2
"WPX5Mineral.ITS.S1137",16.65,34.08,36.2,0.03,5.62,19.23,9.22,0,0,5.65,5.28,12.43,5.82,0.08,7.08,15.05,0.7,0.35,0,0.03,0.05,1.2,0.15,0,3.08,0
"WPX5Organic.ITS.S1139",15.68,37.27,43.55,0.15,9.32,35.58,9,1.15,0.15,12.4,2.83,5.28,5.45,0.2,1.8,9.2,1.18,0.43,0.45,0.22,0.45,0.7,0.03,0.03,1.25,0
"WPX5Outer.ITS.S1141",13.9,40.83,10.1,0,0.52,2.15,2.9,0,0,7.68,9.57,3.78,9.97,1.8,0.2,0.2,1.23,0.38,3.7,0,0,0,0,0,0.75,0
"WPX7Inner.ITS.S215",24.92,43.12,26.38,0,4.62,4.6,9.45,0,0,16.68,13.55,18.08,12.2,8.5,8.38,12.97,6.78,0,2.1,0,0,0,0,0,0,0
"WPX7Mineral.ITS.S218",14.62,28.8,49.2,0,5.02,33.98,8.88,0.07,0,11.6,5.82,10.88,4.08,0.3,6,9.22,0.15,0.3,0,0.03,0,0.52,0.03,0.03,3.25,0
"WPX7Organic.ITS.S1143",21.5,48.15,29.15,0.03,5.7,20.42,8.35,4.05,0,30.7,5.8,7.92,8.38,0.52,2.72,2.05,0.45,0.32,0,0.2,0,0.08,0,0,4.8,0
"WPX7Outer.ITS.S221",30.75,36.98,17.75,0,1.05,0.45,8.97,0,0,11.45,19.82,15.72,20.92,9.2,3.38,3.52,0.48,0.88,1.38,0,0,0,0,0,1.82,0
"YB10Mineral.ITS.S1149",13.25,28.88,45.38,0.12,2.88,38.2,2.98,0.12,0.12,15.12,0.92,3.4,8.5,0.17,2.12,7.62,10.12,0.05,1.2,0,0,2.5,0.22,0,0.45,0
"YB10Organic.ITS.S1151",5.38,12.07,70.02,0,2.1,66.17,1.48,0.03,0,7.3,0.88,1.82,1.62,0.08,0.88,2.4,3.72,0.4,0.15,0,0,2.35,0.4,0,0.12,0
"YB10Outer.ITS.S1153",8.9,12.03,75.03,0,0,0,0,0,0,5.12,8.9,5.12,8.9,5.12,0,0,0,0,69.9,0,0,0,0,0,0,0
"YB11Inner.ITS.S1157",21.9,20.05,7.08,0,0.52,1.62,2.48,0,0,4.32,1.3,2.5,19.9,1.3,1.2,0.38,1.32,0,2.17,0,0,1.65,0.82,0,0,0
"YB11Organic.ITS.S1161",12.05,41.7,38.33,0.08,2.95,26.08,5.12,0,0,12.22,1.48,7.82,5.2,0.12,6.3,11.77,8.5,0.32,0,0,0,2.3,0.6,0.17,0.45,0
"YB11Outer.ITS.S1163",7.08,1.32,3.3,0,0.35,0,3.3,0,0,0.98,3.65,3.3,3.78,0,0,0,0,0,0,0,0,0,0,0,3.3,0
"YB11primeOuter.ITS.S1167",10.12,8.6,7.25,0,0.4,3.65,1.68,0.25,0,2.75,3.05,2.22,6.7,1.07,0.38,0.38,0.88,1.05,0.2,0,0,0.82,0,0,0,0.48
"YB12Inner.ITS.S224",3.5,4.98,4,0,0,0,0,0,0,0.72,1.42,3.8,3.5,0.72,3.08,3.95,0,0,0.2,0,0,0,0,0,0,0
"YB12Outer.ITS.S227",5.62,38.7,34.98,0,1.82,0,0,0,0,1.95,0,34.98,5.62,0,33.02,31.2,0,0,0,0,0,0,0,0,0,0
"YB13Inner.ITS.S1171",9.68,2.25,8.78,0,0.1,5.1,3.35,0,0,1.05,2.72,3,6.42,0,0.05,0.38,0.28,0,0.42,0,0,0.25,0,0,2.6,0
"YB13Mineral.ITS.S230",8.47,40.17,39.12,0,2.6,30.73,5.2,0.03,0,19.15,2.33,4.28,1.38,0.12,2.43,12.25,10.53,0.17,5.32,0,0.03,1.18,0.62,0.05,0.62,0.07
"YB13Organic.ITS.S1173",12.22,37.15,45.38,1.32,7.55,39.42,4.65,2.78,1.27,14.62,2.42,4.38,6.22,0.3,6.12,7.65,5.1,0.62,0.38,0,0.05,1.18,0.48,0.1,0.68,0
"YB13Outer.ITS.S1175",1.8,1.27,1.18,0,0.32,0,1.68,0,0,0.78,1.35,1.18,0.45,0,0,0,0,0,0,0,0,0,0,0,0.85,0
"YB14Mineral.ITS.S1177",6.95,28.62,41.77,0.1,2,36.88,4.58,0.1,0.1,12.47,0.42,0.95,2.3,0.08,0.62,3.72,7.78,0,1.82,0.03,0,0.3,0.25,0,0.08,0
"YB14Organic.ITS.S1179",8.3,24.42,52.98,0.03,1.38,49.17,2.2,1.2,0,10.85,1.1,2.08,5.45,0.2,1.05,0.92,7.08,0.12,0.1,0,0,0.88,1.1,0.07,0.1,0.05
"YB15Inner.ITS.S1183",2.62,2.98,2.8,0.07,0.55,1.55,0.25,0.07,0.07,0.9,0.17,0.17,1.7,0.68,0,0,1.05,0,1.08,0,0,0,0,0,0.17,0
"YB15Mineral.ITS.S1185",26.38,22.48,58.58,0,1.73,43.5,6.7,0,0,3.98,5.68,12.35,17.53,0.05,6.38,9.12,1.77,0.2,0,0,0,2.65,0.7,0.42,5.02,0
"YB15Organic.ITS.S1187",13.03,14.05,65.62,0.1,1.65,56.62,3.52,0.25,0,5.95,3.42,6.8,5.95,0.55,3.48,1.95,1.5,0.8,0.4,0,0,5.15,1.7,0,1.57,0.03
"YB15Outer.ITS.S1189",0.72,0.92,1.5,0,0,0,0,0,0,0,0.3,0,0.3,0.42,0,0,0,0,1.5,0,0,0,0,0,0,0
"YB2Mineral.ITS.S1191",29.27,33.27,21.95,0,0.75,3.48,2.75,0,0,19.6,21.95,23.68,26.38,14.57,0.78,0.92,1.5,1.45,0.28,0,0,0.17,0,0,0,6.75
"YB2Outer.ITS.S1193",45.27,30.35,31.5,0,0,0,12.3,0,0,0.05,13.38,31.52,31.98,0.03,0,0,0,0,0,0,0,0,0,0,0.12,0
"YB3Mineral.ITS.S1199",34.5,30.35,41.15,0,1.18,31.18,7.55,0,0,4.7,1.85,4.92,23.65,0.03,3.8,15.2,3.3,0.03,0,0,0,3.5,0.3,0.15,0.55,0
"YB3Organic.ITS.S1201",6.55,22.77,52.9,0.03,0.35,51.3,2.17,0.05,0.03,2.88,0.2,1.32,3.65,0,1.1,9.5,2.32,0.07,0,0,0,1.27,0.58,0,0.05,0
"YB3Outer.ITS.S1203",8.55,9.53,6.9,0,0.98,0,0,0,0,7.88,8.55,8.55,8.55,6.9,0,0,0,0,0,0,0,0,0,0,0,1.65
"YB4Inner.ITS.S1205",0.15,24.98,0,0,0,0,0,0,0,0.03,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0
"YB4Mineral.ITS.S1207",34,29.08,58.77,11.03,13.07,49.6,12.72,11.05,11.03,15.47,1.45,5.45,17.73,0.28,4.3,8.9,2.08,0,0.05,0,0,3.6,0.08,0.05,0.82,0
"YB4Organic.ITS.S1209",15.2,22.85,64.5,4.15,4.53,59.75,8.25,4.2,4.12,11.47,0.28,1.27,3.92,0,0.78,5.12,4.68,0.12,0,0,0,1.95,0.32,0,0.07,0
"YB4Outer.ITS.S1211",17.4,14.78,8.2,0,0.9,0.32,2.1,0,0,7.62,8.88,6.15,14.45,6.9,0.12,0.12,0,0.2,1.18,0,0,0,0,0,0,0
"YB5Mineral.ITS.S1215",14.25,22.95,56.75,0,3.72,50.02,3.22,0,0,11.28,1.55,3.88,9.95,0.15,1.82,3.05,4.95,0.15,0.5,0.22,0.05,1.7,0.7,0.28,0.85,0.05
"YB5Organic.ITS.S1217",11.85,32.98,42.9,0.1,7.42,31.85,4.05,0,0,14.55,1.62,10,8.18,0.65,6.4,5.47,5.08,0.62,0.25,0.03,0.03,1.6,0.7,0,0.82,0
"YB5Outer.ITS.S1219",4,1.85,3.05,0,0.07,0,0,0,0,1.2,0.88,0.75,1.83,2.7,0.52,0,0,0,2.3,0,0,0,0,0,0,0
"YB9Inner45c.ITS.S1223",9.55,30.38,0.88,0.4,0.2,0.05,0.6,0,0,1.15,7.88,1.27,1.25,0,0.15,0.1,0,0,0.48,0,0,0,0,0,0.17,0
"YB9Inner44c.ITS.S1221",8.7,30.27,0.52,0.35,0,0,0.5,0,0,1.22,7,1.38,1.35,0.03,0,0,0,0.05,0.35,0,0,0,0,0,0.1,0
