"","Pathotroph","Saprotroph","Symbiotroph","Bryophyte Parasite","Dung Saprotroph","Ectomycorrhizal","Fungal Parasite","Leaf Saprotroph","Plant Parasite","Wood Saprotroph","Animal Pathogen","Endophyte","Plant Pathogen","Lichen Parasite","Litter Saprotroph","Soil Saprotroph","Plant Saprotroph","Epiphyte","Lichenized","Arbuscular Mycorrhizal","Endomycorrhizal","Ericoid Mycorrhizal","Orchid Mycorrhizal","Root Associated Biotroph","Clavicipitaceous Endophyte","Animal Endosymbiont"
"ML2Outer.ITS.S413",19.58,14.85,11.53,0.15,0.05,0.03,0.58,0.15,0.03,0.42,0.52,10.53,18.32,0.52,0.08,0.2,0.48,0.22,0.55,0,0.1,0,0,0,0.05,0
"MLGPInner.ITS.S415",28.88,35.95,2.75,0,8.88,0,1.4,0,0,8.97,8.72,2.48,27.48,0,0,0,18.82,0,0,0,0,0,0,0,1.12,0
"MLGPMineral.ITS.S417",28.05,33.7,51.42,0.1,0.72,23.15,2.83,0.1,0.1,7.28,0.88,6.05,16.73,0.15,5.42,6.2,6.07,0.05,0.1,0,0,8.22,1.8,1.73,0.22,0
"MLGPOrganic.ITS.S419",36.62,12.05,50.45,0.05,0.95,45.55,1.12,0,0,6.53,0.5,1.85,32.15,0.03,1.55,1.48,4.68,0.05,0,0,0,3.3,0.2,0,0.05,0
"MLGPOuter.ITS.S421",34.6,37.2,4.12,0,6.22,0.07,3.6,0,0,6.5,11.6,3.4,31.12,0.15,0.22,0.3,20.58,0,0.07,0,0,0,0,0,2.32,0
"PB1Inner.ITS.S423",18.77,52.83,6.35,0,0,0,5.15,0,0,0.9,8.35,4.32,12.43,1.2,0,0,0,0,1.2,0,0,0,0,0,4.32,0
"PB1Mineral.ITS.S425",24.45,30.62,46.65,2.05,2.88,32.38,3.05,2.05,2.05,6.08,1.75,8.22,14.95,0.12,5.38,11.75,3.38,0.03,0,0,0.05,5.45,0.07,0.07,0.05,0
"PB1Organic.ITS.S427",19.7,21.65,64.55,0,3.78,51.67,1.43,0.03,0,9.15,2.7,9.45,12.85,0,7,8.38,4.47,0.28,0,0,0,3.5,0.2,0.03,0.28,0.03
"PB1Outer.ITS.S429",15.75,11.6,0.72,0,0,0,0.62,0,0,0.42,1.02,0.6,15.18,0.08,0,0,0.07,0,0.12,0,0,0,0,0,0.52,0
"PB2Inner.ITS.S431",1.07,87.12,0.62,0,0.12,0,0,0,0,0.2,0.78,0.38,0.48,0.12,0.12,0.12,0.12,0,0.25,0,0,0,0,0,0,0
