"","methanotrophy","methanogenesis_by_CO2_reduction_with_H2","methanogenesis_by_reduction_of_methyl_compounds_with_H2","hydrogenotrophic_methanogenesis","methanogenesis","methanol_oxidation","methylotrophy","aerobic_ammonia_oxidation","aerobic_nitrite_oxidation","sulfate_respiration","sulfur_respiration","nitrate_denitrification","chitinolysis","dark_hydrogen_oxidation","nitrogen_fixation","cellulolysis","xylanolysis","dark_sulfide_oxidation","dark_oxidation_of_sulfur_compounds","manganese_oxidation","fermentation","aerobic_chemoheterotrophy","invertebrate_parasites","human_pathogens_septicemia","human_pathogens_pneumonia","human_pathogens_gastroenteritis","human_pathogens_diarrhea","human_pathogens_all","human_gut","animal_parasites_or_symbionts","plant_pathogen","aromatic_hydrocarbon_degradation","aromatic_compound_degradation","aliphatic_non_methane_hydrocarbon_degradation","hydrocarbon_degradation","iron_respiration","nitrate_respiration","nitrate_reduction","intracellular_parasites","chlorate_reducers","predatory_or_exoparasitic","nonphotosynthetic_cyanobacteria","photosynthetic_cyanobacteria","anoxygenic_photoautotrophy_S_oxidizing","photoheterotrophy","ureolysis"
"BB16Outer.16S.S16",0,0,0,0,0,0,0,0,0,0,0,0,0,1.56,0,0.39,0,0,0,0,0.78,27.24,0,0,0,0,0,0.78,0.78,0,0,0,0.39,0,0,0,0,0.78,0,0,1.17,0.39,0.39,0,0,0
"BB16primeInner.16S.S16",0.54,9.78,0,9.78,0,0.54,0,0,0,0,0,0,0,10.33,0,1.63,0,0,0,0,2.17,17.39,0,0,0,0,0,0.54,0.54,0,0,0,0,0,0,0,0,0.54,1.09,0,0.54,0,0,0,0,0.54
"BB16primeMineral.16S.S16",1.73,0,0,0,0,0,1.73,0,0,0,0,0,0,8.93,1.73,2.59,0,0,0,0,0,39.48,0,0,0,0,0,0,0,2.31,0,0,0,0,0,0,0,0,0.29,0,0.58,0.29,0,0,0.29,0
"BB16primeOrganic.16S.S17",0,0,0,0,0,0,0,0,0,0,0,0,0,4.98,0,1.37,0,0,0,0,0.17,28.69,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0.17,1.03,0,1.2,0.17,0,0,0.34,0.17
"BB16primeOuter.16S.S17",0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0,19.33,0,0,0,0,5.04,41.18,0,0,0,0,0,3.78,3.78,0,0,0,0.42,0,0,0,0,3.78,0,0,0,0.84,0,0,0,0
"BB3Inner.16S.S18",0.85,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0,9.32,0,0,0,0,3.39,44.92,0,0,0,0,0,1.69,1.69,0,0,0,0,0,0,0,0,2.54,0,0,0.85,0,0,0,0.85,0.85
"BB3Mineral.16S.S18",0.98,0,0,0,0,0,0.98,0,0,0,0,0,0,10.49,0.98,4.92,0,0,0,0,0,40.33,0,0,0,0,0,0,0,2.3,0,0,0,0,0,0,0,0.33,0.66,0,0,0.66,0,0,0,0
"BB3Organic.16S.S18",0,0,0,0,0,0,0,0,0,0,0,0,0,2.86,0,3.08,0,0,0,0,0,32.16,0,0,0,0,0,0,0,0.66,0,0,0,0,0,0.22,0,0,0.88,0,0.88,0.44,0,0,0,0
"BB5Mineral.16S.S19",1.69,0,0,0,0,0,1.69,0,0,0,0,0,0,11.49,2.03,3.72,0,0,0,0,0,43.24,0,0,0,0,0,0,0,2.03,0,0,0,0,0,0,0,0.34,0.34,0,1.01,0,0,0,0,0
"BB5Organic.16S.S19",0.17,0,0,0,0,0,0.17,0.17,0,0,0,0,0,4.64,0.17,2.41,0,0,0,0,0,33.68,0,0,0,0,0,0.17,0,0.34,0,0,0,0,0,0,0.17,0,1.03,0,0.86,0.52,0,0,0,0
"BB5Outer.16S.S19",0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0,19.85,0,0,0,0,2.94,50,0,0,0,0,0,1.47,1.47,0,0,0,0,0,0,0,0,1.47,0,0,0.74,0,0,0,0,0
"BB6Inner.16S.S19",0.88,0,0,0,0,0.88,0,0,0,0,0,0,0,0,0,0.88,0,0,0,0,1.75,53.51,0,0,0,0,0,0.88,0.88,0.88,0,0,0,0,0,0,0,0.88,0.88,0,0,0,2.63,0,0,0.88
"BB6Mineral.16S.S20",1.88,0,0,0,0,0,1.88,0,0,0,0,0,0,8.58,1.88,1.88,0,0,0,0,0,31.1,0,0,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0.54,0.8,0,0.8,0.54,0,0,0,0
"BB6Organic.16S.S20",0.15,0,0,0,0,0,0.15,0.15,0,0,0,0,0,4.76,0.15,3.57,0,0,0,0,0,30.36,0,0,0,0,0,0,0,1.19,0,0,0,0,0,0,0.15,0.15,0.89,0,0.74,0.89,0,0,0.3,0
"BB7Inner.16S.S20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.71,12.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,0
"BB7Mineral.16S.S20",1.25,0,0,0,0,0,1.25,0.31,0,0,0,0,0,11.6,1.25,4.08,0,0,0,0,0,38.56,0,0,0.31,0,0,0.63,0,1.57,0,0,0,0,0,0,0.31,0.31,1.57,0,0,0,0,0,0,0
"BB7Organic.16S.S21",0,0,0,0,0,0,0,0,0,0,0,0,0,3.02,0,1.1,0,0,0,0,0.27,29.4,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,1.65,0,0.27,0.55,0,0,0.27,0
"BB8Inner.16S.S21",0.25,7.84,1.47,9.31,0,0.25,1.47,0,0,0,0,0,0,8.09,0,1.96,0,0,0,0,17.65,13.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.25
"BB8Mineral.16S.S21",1.13,0,0,0,0,0,1.13,0,0,0,0,0,0,9.91,1.13,2.7,0,0,0,0,0,35.36,0,0,0,0,0,0,0,1.58,0,0,0,0,0,0,0.23,0,0.45,0,0.45,0.23,0,0,0.23,0
