"","Pathotroph","Saprotroph","Symbiotroph","Bryophyte Parasite","Dung Saprotroph","Ectomycorrhizal","Fungal Parasite","Leaf Saprotroph","Plant Parasite","Wood Saprotroph","Animal Pathogen","Endophyte","Plant Pathogen","Lichen Parasite","Litter Saprotroph","Soil Saprotroph","Plant Saprotroph","Epiphyte","Lichenized","Arbuscular Mycorrhizal","Endomycorrhizal","Ericoid Mycorrhizal","Orchid Mycorrhizal","Root Associated Biotroph","Clavicipitaceous Endophyte","Animal Endosymbiont"
"H4Organic.ITS.S353",13.09,32.98,32.98,0.52,3.66,23.04,4.71,1.57,0,13.61,2.62,7.85,6.28,0.52,4.19,6.81,3.14,1.05,1.57,0,0,3.66,2.09,0.52,0.52,0
"H4Outer.ITS.S355",28.26,36.96,15.22,0,4.35,0,2.17,0,0,15.22,26.09,17.39,26.09,8.7,2.17,2.17,0,2.17,0,0,0,0,0,0,0,2.17
"H5Inner.ITS.S357",31.91,44.68,17.02,0,6.38,0,4.26,2.13,0,19.15,14.89,8.51,25.53,6.38,2.13,0,0,2.13,6.38,0,0,0,0,0,2.13,0
"H5Mineral.ITS.S359",21.39,42.29,37.31,0,4.98,14.93,8.96,1,0,11.44,7.46,13.43,8.46,1.99,6.97,8.96,3.48,0.5,0,0,0,5.47,1,0.5,1.49,0
"H5Organic.ITS.S361",20.36,36.65,29.86,0.45,4.07,17.65,5.43,2.26,0,14.48,4.52,10.41,12.22,0.45,4.07,4.07,2.71,0.45,0.9,0,0,4.98,3.17,0.9,1.36,0.45
"H5Outer.ITS.S363",28.26,47.83,13.04,0,15.22,0,4.35,0,0,28.26,21.74,13.04,15.22,10.87,0,0,0,0,2.17,0,0,0,0,0,2.17,2.17
"HM8Inner.ITS.S149",23.08,42.31,19.23,0,0,0,7.69,0,0,3.85,7.69,23.08,15.38,0,11.54,11.54,0,0,0,0,0,0,0,0,0,7.69
"HM8Mineral.ITS.S152",22.06,34.8,38.73,0,2.94,17.16,9.31,0,0,12.75,8.33,14.71,8.82,2.45,6.37,7.84,3.43,0.49,0.98,0,0,3.92,0.98,0.49,1.96,0.49
"H8Organic.ITS.S365",20.92,32.14,35.2,1.53,3.06,20.92,9.18,1.53,1.02,10.71,3.57,9.18,7.14,1.02,6.63,8.16,4.08,0.51,1.53,0,0,4.08,1.53,0,0,0
"HM8Outer.ITS.S155",28.92,38.55,28.92,0,3.61,1.2,9.64,2.41,0,9.64,18.07,15.66,10.84,4.82,4.82,8.43,0,2.41,7.23,0,0,0,0,0,3.61,0
"H9Inner.ITS.S367",26.92,23.08,17.31,0,3.85,0,5.77,0,0,13.46,19.23,13.46,21.15,5.77,0,1.92,1.92,0,3.85,0,0,0,0,0,1.92,0
"H9Mineral.ITS.S369",20.12,37.28,37.87,1.78,6.51,18.93,7.1,1.78,1.78,11.83,3.55,13.02,9.47,1.18,6.51,9.47,1.78,0.59,0.59,0,0,4.73,1.18,0.59,1.18,0
"H9Organic.ITS.S371",21.32,34.56,34.56,1.47,5.88,18.38,8.82,1.47,1.47,12.5,5.88,8.82,5.15,0,5.88,8.82,4.41,0.74,0.74,0,0,5.88,0,0,1.47,0
"H9Outer.ITS.S373",36.36,45.45,36.36,0,0,0,0,0,0,36.36,27.27,27.27,27.27,36.36,0,0,0,0,9.09,0,0,0,0,0,0,0
"HX2Inner.ITS.S375",39.13,39.13,17.39,0,0,0,0,0,0,13.04,26.09,13.04,34.78,13.04,0,0,0,0,4.35,0,0,0,0,0,0,0
"HX2Mineral.ITS.S377",14.96,29.91,29.62,0,7.33,15.54,7.33,0.29,0,8.21,4.69,9.97,6.45,1.17,5.57,6.74,1.47,1.17,0.29,0.88,0,0.88,1.47,1.17,1.76,0
"HX2Organic.ITS.S379",14.55,32.21,19.74,0.26,6.49,8.83,2.86,1.3,0,10.91,4.42,9.09,9.35,0.78,5.19,5.71,0.78,1.04,0,0.26,0.26,1.04,0.78,0.78,0.52,0.26
"HMX3Inner.ITS.S158",30.77,58.97,30.77,0,2.56,2.56,0,2.56,0,25.64,25.64,30.77,28.21,12.82,7.69,10.26,2.56,0,0,0,0,2.56,0,0,0,2.56
"HX3Mineral.ITS.S383",16.67,36.26,27.49,0,4.97,11.99,7.89,0.58,0,10.82,5.56,12.57,7.31,0.58,7.31,9.06,2.05,0.88,0,0,0,2.05,0.29,0,1.75,0.29
"HX3Organic.ITS.S385",16.71,35.34,23.01,0.27,5.75,12.05,6.85,1.37,0.27,12.88,5.48,7.95,7.4,0.82,4.38,4.66,3.01,1.37,0.27,0.27,0,1.37,0.27,0,1.1,0.55
"HMX3Outer.ITS.S161",24,52,36,0,8,0,4,0,0,24,20,36,16,12,20,12,0,0,0,0,0,0,0,0,0,0
"HX4Inner.ITS.S387",14.81,33.33,7.41,0,3.7,0,0,0,0,22.22,14.81,3.7,14.81,3.7,0,0,0,0,3.7,0,0,0,0,0,0,0
"HX4Mineral.ITS.S389",17.41,38.46,31.17,0.4,7.69,14.57,8.91,0.81,0,12.15,4.45,13.77,7.29,0,8.91,10.12,1.21,0.81,0,0,0,1.62,0.4,0.4,2.43,0
"HX4Organic.ITS.S391",17.15,37.23,23.36,0,3.28,9.49,7.66,1.82,0,11.31,3.65,10.58,6.57,0.36,5.84,6.57,3.65,1.09,0.36,0,0,2.92,0.73,0,1.46,0
"HX4Outer.ITS.S393",22.22,11.11,3.7,0,0,0,7.41,0,0,3.7,7.41,3.7,14.81,0,0,0,3.7,0,0,0,0,0,0,0,3.7,0
"HX5Inner.ITS.S395",53.33,70,23.33,0,6.67,0,6.67,0,0,26.67,43.33,20,33.33,10,0,0,0,0,0,0,0,0,0,0,3.33,0
"HX5Outer.ITS.S397",29.41,27.45,9.8,0,0,0,7.84,0,0,7.84,23.53,9.8,21.57,3.92,0,0,0,1.96,0,0,0,0,0,0,5.88,0
"HZ1Inner.ITS.S399",32.63,41.05,20,0,2.11,4.21,4.21,1.05,0,14.74,12.63,11.58,26.32,7.37,1.05,2.11,1.05,0,1.05,0,1.05,0,0,0,0,0
"HZ1Mineral.ITS.S401",17.01,37.01,22.69,0.3,4.18,11.34,4.78,1.19,0,9.85,2.69,9.25,11.04,0,4.48,5.07,1.79,1.79,0,0.6,0,1.19,0.9,0.9,0.9,0.3
"HZ1Organic.ITS.S403",18.35,33.71,33.33,0.37,4.87,19.48,5.62,0,0,7.87,5.99,10.49,7.49,0.75,5.99,9.36,1.12,0.37,0,0.37,0,2.62,1.12,0.75,1.87,0
"ML2Inner.ITS.S407",25.37,23.88,17.91,0,1.49,0,2.99,0,0,5.97,10.45,8.96,16.42,4.48,0,1.49,1.49,4.48,2.99,0,1.49,0,0,0,2.99,0
"ML2Mineral.ITS.S409",24.42,39.63,35.94,0.92,5.07,13.36,10.14,1.38,0.92,11.06,4.15,14.29,9.22,0.46,8.76,12.44,2.76,0.46,0,0,0.46,5.99,0.92,0.46,1.38,0
"ML2Organic.ITS.S411",26.44,38.46,32.21,1.44,6.73,17.31,11.06,1.44,1.44,15.87,4.33,9.13,9.13,0.48,4.33,6.25,4.81,0.48,0,0,0.48,6.73,1.44,0,0.96,0
"ML2Outer.ITS.S413",34.62,26.92,17.31,1.92,1.92,0.96,7.69,1.92,0.96,5.77,7.69,7.69,21.15,2.88,1.92,2.88,0.96,1.92,3.85,0,0.96,0,0,0,0.96,0
"MLGPInner.ITS.S415",27.45,21.57,13.73,0,1.96,0,7.84,0,0,3.92,13.73,11.76,19.61,0,0,0,5.88,0,0,0,0,0,0,0,5.88,0
"MLGPMineral.ITS.S417",20.48,34.76,30.48,0.48,3.33,11.9,6.67,0.48,0.48,10.48,4.76,11.9,8.1,1.43,7.14,9.52,4.76,0.48,0.48,0,0,4.76,1.43,0.95,1.43,0
"MLGPOrganic.ITS.S419",19.89,34.66,36.36,1.14,3.41,20.45,7.39,0,0,13.64,3.41,9.09,4.55,0.57,5.68,5.11,6.25,0.57,0,0,0,8.52,1.14,0,0.57,0
"MLGPOuter.ITS.S421",28.72,23.4,14.89,0,1.06,1.06,11.7,0,0,5.32,11.7,11.7,18.09,2.13,2.13,3.19,3.19,0,1.06,0,0,0,0,0,4.26,0
"PB1Inner.ITS.S423",50,34.62,23.08,0,0,0,19.23,0,0,3.85,26.92,15.38,26.92,3.85,0,0,0,0,3.85,0,0,0,0,0,15.38,0
"PB1Mineral.ITS.S425",17.46,38.62,40.74,1.59,4.23,21.69,6.88,1.59,1.59,8.47,2.12,11.11,5.82,0.53,7.41,12.7,3.7,0.53,0,0,0.53,5.29,0.53,0.53,0.53,0
"PB1Organic.ITS.S427",19.2,31.7,31.7,0,4.02,14.29,5.8,0.45,0,11.16,6.7,12.05,5.36,0,7.59,7.59,4.02,0.45,0,0,0,5.36,1.34,0.45,1.34,0.45
"PB1Outer.ITS.S429",26.79,28.57,14.29,0,0,0,8.93,0,0,7.14,14.29,10.71,19.64,3.57,0,0,1.79,0,3.57,0,0,0,0,0,5.36,0
"PB2Inner.ITS.S431",20.45,38.64,18.18,0,2.27,0,0,0,0,6.82,9.09,11.36,11.36,4.55,4.55,4.55,2.27,0,6.82,0,0,0,0,0,0,0
"PB2Mineral.ITS.S433",20.95,43.33,38.1,0.95,4.76,20,9.05,0.95,0.95,11.43,5.71,11.43,10,0.48,6.19,10.48,3.33,0.48,0.48,0,0.95,3.81,0.95,0.48,0.95,0
"PB2Organic.ITS.S435",19.75,34.16,30.04,0.41,3.29,18.93,7.41,2.47,0.41,14.4,3.29,8.23,10.29,0.82,4.53,6.58,5.35,0.41,0,0,0,4.12,0.82,0,0,0
"PB2Outer.ITS.S437",9.09,9.09,18.18,0,0,0,0,0,0,0,0,4.55,4.55,4.55,0,0,0,0,13.64,0,0,0,0,0,0,0
"PB3Inner.ITS.S439",28.45,37.07,21.55,0.86,0.86,6.9,8.62,0,0,12.93,7.76,11.21,19.83,0.86,0.86,0.86,0,2.59,0.86,0,0,0.86,0,0,0.86,0.86
"PB3Mineral.ITS.S441",21.66,34.39,37.58,0.64,5.1,19.11,8.92,0.64,0.64,10.19,3.82,10.83,7.01,0,6.37,9.55,3.82,0.64,0,0,0,5.1,0.64,0.64,1.91,0
"PB3Organic.ITS.S443",19.05,34.01,27.89,0.68,3.4,16.33,6.12,0.68,0.68,11.56,3.4,7.48,6.12,0,4.76,5.44,7.48,0,0,0,0,6.12,1.36,0,0,0
"PB3Outer.ITS.S445",27.91,30.23,18.6,0,0,0,6.98,0,0,0,11.63,11.63,20.93,2.33,4.65,4.65,0,4.65,4.65,0,0,0,0,0,0,0
"PB4Inner.ITS.S447",6.94,13.89,5.56,0,0,4.17,0,1.39,0,4.17,0,1.39,6.94,0,0,0,1.39,0,0,0,0,0,0,0,0,0
"PB4Mineral.ITS.S449",21.08,36.76,40.54,0,4.32,21.08,7.57,0,0,12.97,3.78,13.51,8.65,0.54,7.03,9.73,4.86,1.62,0.54,0,0,5.41,1.08,0.54,1.62,0
"PB4Organic.ITS.S451",17.56,33.59,26.72,0.38,4.58,17.18,4.58,1.15,0,11.07,3.44,7.25,8.02,0.38,4.96,3.05,3.05,0.76,0.76,0,0,5.73,2.29,0.38,0.38,0
"PB4Outer.ITS.S453",20.83,12.5,8.33,0,0,4.17,4.17,0,0,0,12.5,4.17,16.67,0,0,0,0,0,0,0,0,0,0,0,4.17,0
"PB5Inner.ITS.S463",30,33.33,10,0,3.33,3.33,6.67,0,0,10,16.67,6.67,20,6.67,0,0,0,0,0,0,0,0,0,0,3.33,0
"PB5Mineral.ITS.S465",20.35,28.49,43.02,0,2.33,23.84,7.56,0,0,7.56,2.33,11.63,8.72,0,5.81,9.88,2.91,0.58,0,0,0,5.81,0.58,0.58,1.16,0
"PB5Organic.ITS.S467",19.19,32.32,34.85,0.51,3.03,22.73,5.56,0.51,0,10.1,1.01,7.58,8.59,0.51,5.05,5.05,4.04,0.51,0.51,0,0.51,6.06,1.52,0.51,0,0
"PB5Outer.ITS.S469",25,15.62,9.38,0,0,0,3.12,0,0,3.12,15.62,6.25,21.88,3.12,0,0,0,0,3.12,0,0,0,0,0,3.12,0
"PB501Mineral.ITS.S457",19.4,33.83,35.32,0.5,2.99,17.41,8.46,0.5,0.5,8.96,4.48,10.95,5.47,0,6.97,9.45,4.48,0,0,0,0,4.48,0.5,0.5,1.49,0
"PB501Outer.ITS.S461",40,26.67,13.33,0,0,0,10,0,0,0,23.33,10,26.67,0,0,3.33,0,0,0,0,0,0,0,0,6.67,0
"RM1Inner.ITS.S603",25,62.5,18.75,0,12.5,0,0,0,0,25,12.5,18.75,25,6.25,0,0,0,0,0,0,0,0,0,0,0,0
"RM1Mineral.ITS.S605",11.84,36.84,32.24,1.32,1.97,23.03,5.92,1.32,0.66,10.53,2.63,7.24,1.97,0,3.29,8.55,4.61,0.66,1.97,0,0,5.26,2.63,0.66,1.32,0
"RM1Organic.ITS.S607",14.12,36.16,27.68,0.56,2.26,15.82,5.65,1.13,0,13.56,3.39,8.47,3.39,0.56,5.65,6.21,5.08,0.56,0.56,0,0,6.21,1.69,0,1.13,0
"RM1Outer.ITS.S609",22.41,31.03,13.79,0,0,1.72,0,0,0,5.17,15.52,6.9,17.24,5.17,0,0,0,1.72,3.45,0,0,0,0,0,0,0
"RM10Inner.ITS.S593",34.48,31.03,29.89,0,3.45,3.45,12.64,0,0,10.34,14.94,16.09,22.99,4.6,0,0,1.15,4.6,6.9,0,0,0,0,0,5.75,1.15
"RM10Outer.ITS.S595",28.95,24.56,25.44,0,1.75,2.63,8.77,0,0,12.28,14.91,13.16,21.05,4.39,0.88,0,0,1.75,8.77,0,0,0,0,0,4.39,0
"RM14Inner.ITS.S164",33.33,33.33,16.67,0,0,0,5.56,0,0,11.11,16.67,16.67,27.78,0,5.56,0,0,0,0,0,0,0,0,0,5.56,0
"RM14Mineral.ITS.S599",20.69,38.42,36.45,0.99,4.93,16.26,10.34,0.99,0.99,12.81,3.94,14.29,8.87,0,7.88,9.85,2.96,0.49,0.49,0,0,4.43,0.99,0,0.99,0
"RM14Organic.ITS.S601",16.88,38.96,26.62,1.3,4.22,14.29,6.17,1.95,0.65,13.64,3.57,10.06,8.44,1.3,5.19,5.84,3.57,0.65,0.32,0,0.32,2.92,1.3,0.32,0.65,0.32
"RM14Outer.ITS.S167",29.09,29.09,16.36,0,0,0,5.45,0,0,12.73,14.55,10.91,23.64,5.45,1.82,1.82,0,0,3.64,0,0,0,0,0,1.82,0
"RM2Inner.ITS.S611",28.57,47.62,14.29,0,0,4.76,9.52,0,0,19.05,14.29,9.52,19.05,4.76,0,0,0,0,0,0,0,0,0,0,4.76,0
"RM2Mineral.ITS.S613",12.59,37.04,32.59,1.48,1.48,22.22,6.67,2.22,0.74,13.33,2.96,7.41,2.22,0.74,3.7,8.89,5.93,0.74,1.48,0,0,3.7,1.48,0,1.48,0
"RM2Organic.ITS.S615",13.41,37.8,28.66,1.22,2.44,17.68,5.49,2.44,0.61,14.63,3.05,6.71,3.05,0.61,4.27,6.71,4.27,0.61,1.83,0,0,5.49,1.83,0,0.61,0
"RM2Outer.ITS.S617",12.12,34.85,6.06,0,0,0,0,0,0,4.55,6.06,4.55,9.09,3.03,0,0,1.52,1.52,3.03,0,0,0,0,0,0,0
"RM3Inner.ITS.S170",20.69,32.76,24.14,0,3.45,0,3.45,0,0,8.62,10.34,18.97,15.52,8.62,8.62,10.34,0,1.72,5.17,0,0,0,0,0,1.72,0
"RM3Mineral.ITS.S173",14.76,35.71,32.86,1.9,3.33,18.1,8.57,1.43,0.95,9.05,3.81,11.43,5.24,0,6.67,14.29,3.33,0.48,0.48,0.48,0,3.33,0.95,0,1.9,0
"RM3Organic.ITS.S655",15.35,35.15,26.24,0.5,3.47,13.86,7.43,0.5,0,12.38,3.96,11.88,5.94,0.99,5.45,6.44,5.45,1.49,0,0,0,4.95,2.48,0,0.99,0
"RM3Outer.ITS.S176",25.42,20.34,15.25,0,0,1.69,8.47,1.69,0,5.08,11.86,11.86,16.95,0,3.39,3.39,0,1.69,1.69,0,0,0,0,0,5.08,0
"RM301Mineral.ITS.S627",23.18,41.72,37.75,0.66,5.3,12.58,7.95,1.99,0.66,14.57,8.61,17.88,9.27,1.32,9.27,15.23,4.64,1.32,0.66,0,0,5.3,1.99,1.32,1.99,0
"RM301Organic.ITS.S629",17.04,33.63,31.84,0,4.04,16.59,4.93,0,0,12.11,4.04,9.87,6.73,0.45,5.83,6.73,2.69,0.45,0,0,0,5.83,1.79,0.45,0.45,0
"RM301AInner.ITS.S619",15,15,20,0,0,0,0,0,0,10,15,10,15,10,0,0,0,0,10,0,0,0,0,0,0,0
"RM301AOuter.ITS.S621",33.93,44.64,19.64,0,0,1.79,5.36,0,0,10.71,19.64,7.14,23.21,8.93,0,3.57,1.79,1.79,7.14,0,0,0,0,0,1.79,0
"RM301BInner.ITS.S623",38.24,35.29,11.76,0,0,0,8.82,0,0,5.88,14.71,8.82,29.41,2.94,0,0,0,0,2.94,0,0,0,0,0,0,2.94
"RM301BOuter.ITS.S625",48.21,37.5,23.21,0,0,0,8.93,0,0,8.93,26.79,16.07,39.29,8.93,1.79,5.36,1.79,1.79,3.57,0,0,0,0,0,5.36,0
"RM302Inner.ITS.S631",22.86,37.14,28.57,0,2.86,2.86,8.57,0,0,11.43,14.29,17.14,14.29,2.86,2.86,2.86,2.86,0,8.57,0,0,0,0,0,5.71,0
"RM302Mineral.ITS.S633",19.82,38.77,31.72,0,3.52,13.66,7.49,0.44,0,12.78,4.41,12.33,9.69,0.88,6.61,10.13,3.08,0.88,0,0,0.44,3.96,1.32,0.88,0.44,0
"RM302Organic.ITS.S635",18.38,39.46,32.97,0,4.86,20.54,7.03,0,0,15.68,3.24,9.73,7.57,1.08,5.95,7.57,5.41,1.08,0.54,0,0,5.41,1.62,0,0,0
"RM302Outer.ITS.S637",26.47,35.29,20.59,0,0,0,0,0,0,8.82,23.53,5.88,17.65,5.88,0,2.94,0,0,14.71,0,0,0,0,0,0,0
"RM303Inner.ITS.S639",12.5,18.75,12.5,0,0,0,6.25,0,0,12.5,6.25,6.25,12.5,0,0,0,0,0,6.25,0,0,0,0,0,0,0
"RM303Mineral.ITS.S641",19.19,37.88,32.83,0.51,4.04,12.12,9.6,0.51,0.51,8.59,5.05,12.12,7.07,0.51,6.57,11.11,3.03,0,0,0.51,0.51,4.55,1.01,0.51,2.53,0
"RM303Organic.ITS.S643",21.82,34.09,31.36,0.45,2.27,15.91,8.64,0.45,0,12.27,5.45,10,6.82,0.45,4.09,7.27,4.55,0.91,0.45,0,0,6.36,1.36,0.45,2.27,0
"RM303Outer.ITS.S645",17.02,36.17,8.51,0,2.13,0,0,0,0,12.77,12.77,8.51,12.77,2.13,2.13,4.26,2.13,0,2.13,0,0,0,0,0,0,0
"RM304Inner.ITS.S647",40,65,20,0,20,0,0,0,0,15,35,25,35,20,0,0,0,0,0,0,0,0,0,0,0,5
"RM304Mineral.ITS.S649",21.11,38.89,36.11,0,3.89,13.33,11.67,0.56,0,13.33,6.11,15.56,7.78,0.56,8.33,8.89,4.44,1.11,0.56,0,0,4.44,0,0,2.78,0
"RM304Organic.ITS.S651",22.88,36.53,32.47,1.11,4.43,14.39,10.7,1.11,0.37,14.39,5.9,13.65,7.75,1.48,7.01,6.64,3.69,1.48,1.11,0,0.37,4.8,1.48,0.37,2.21,0
"RM304Outer.ITS.S653",20.83,20.83,12.5,0,0,0,8.33,0,0,4.17,16.67,8.33,12.5,4.17,0,0,0,0,4.17,0,0,0,0,0,4.17,0
"RM4Inner.ITS.S657",12.9,32.26,6.45,0,0,0,0,0,0,9.68,9.68,6.45,12.9,6.45,0,0,0,0,0,0,0,0,0,0,0,0
"RM4Mineral.ITS.S659",10.63,29.13,24.41,0.39,2.76,12.99,5.51,0.39,0.39,8.66,4.72,7.87,3.54,0.79,3.54,10.24,3.94,0.79,0.39,0.39,0,2.36,1.57,0.79,1.57,0
"RM4Organic.ITS.S661",15.53,38.35,29.13,0.49,1.94,18.93,4.85,0.97,0,15.53,2.43,8.74,6.8,0,5.83,6.8,5.83,0.49,0.49,0,0,5.34,2.43,0,0.49,0
"RM4Outer.ITS.S663",22.41,27.59,17.24,0,5.17,3.45,3.45,0,0,17.24,10.34,10.34,20.69,5.17,0,0,0,0,3.45,0,0,0,0,0,1.72,0
"RM5Inner.ITS.S685",10,23.33,13.33,0,6.67,3.33,3.33,0,0,13.33,6.67,10,6.67,0,0,0,3.33,0,0,0,0,0,0,0,3.33,0
"RM5Mineral.ITS.S687",16.33,34.18,25.51,0.51,2.55,14.29,7.14,0.51,0.51,9.18,3.06,7.14,6.12,0,4.59,10.2,2.55,0.51,1.02,0,0.51,5.61,2.04,0,0,0.51
"RM5Organic.ITS.S691",13.94,35.15,30.91,1.21,1.21,19.39,6.06,1.21,0.61,12.73,2.42,9.09,6.67,1.21,4.24,10.3,5.45,0.61,1.21,0,0,4.24,1.82,0,0,0
"RM5Outer.ITS.S693",16.36,20,10.91,0,0,1.82,1.82,0,0,5.45,12.73,7.27,12.73,5.45,0,1.82,0,0,1.82,0,0,0,0,0,1.82,0
"RM501Inner.ITS.S665",28.81,16.95,15.25,0,0,1.69,1.69,1.69,0,10.17,13.56,11.86,23.73,6.78,0,3.39,1.69,0,1.69,0,0,0,0,0,0,0
"RM501Mineral.ITS.S667",16.11,31.75,34.12,0.47,4.27,20.38,5.21,0.47,0,10.9,2.37,10.43,8.06,0,5.21,11.85,3.32,0.47,0,0,0,2.84,0.95,0.95,0.95,0
"RM501Organic.ITS.S669",18.77,38.31,34.1,0.77,3.45,22.99,7.66,1.92,0.38,14.94,4.21,6.9,8.05,0.38,3.83,8.43,6.9,0.38,0,0,0.38,2.68,0.77,0,0.77,0
"RM501Outer.ITS.S671",35,40,22.5,0,2.5,2.5,10,0,0,20,22.5,15,30,12.5,0,0,0,0,2.5,0,0,0,0,0,2.5,0
"RM502Mineral.ITS.S675",19.54,37.93,37.93,1.15,5.75,20.11,8.62,1.15,1.15,13.79,4.02,11.49,8.62,0,6.32,13.79,2.87,0.57,0,0,0,3.45,0,0,1.72,0
"RM502Organic.ITS.S677",14.92,38.31,22.98,2.02,3.23,14.11,6.05,1.61,0.4,14.52,2.42,7.66,6.85,0,6.05,5.65,4.44,0.81,0,0,0,2.42,0.81,0,0,0
"RM502Outer.ITS.S679",31.03,22.41,20.69,0,0,0,5.17,1.72,0,6.9,13.79,12.07,20.69,5.17,0,1.72,0,0,5.17,0,1.72,0,0,0,3.45,0
"RM503Inner.ITS.S179",28.57,42.86,17.86,0,3.57,0,10.71,3.57,0,14.29,14.29,14.29,17.86,7.14,3.57,3.57,3.57,0,3.57,0,0,0,0,0,3.57,0
"RM503Mineral.ITS.S681",17.67,38.6,38.14,0,4.19,19.53,8.37,0,0,11.63,6.05,13.49,6.98,0.93,7.44,11.16,2.79,0.47,0,0.47,0,3.26,1.4,0.93,0.93,0
"RM503Organic.ITS.S683",15.35,38.6,32.02,0.88,3.51,21.93,4.39,0.88,0,14.04,3.51,7.46,5.26,1.32,4.82,4.82,4.82,1.32,0.44,0,0,3.95,1.32,0.44,0,0
"RM503Outer.ITS.S182",30.36,33.04,19.64,0,0.89,3.57,8.93,0.89,0,4.46,15.18,11.61,17.86,5.36,2.68,3.57,0.89,2.68,2.68,0,0,0,0,0,1.79,0
"RMS1Mineral.ITS.S697",14.16,30.04,26.18,0.86,3.43,13.73,5.15,0.86,0.86,8.15,2.15,8.15,5.58,0,4.72,10.73,2.58,0.43,0,0,0,4.29,0.86,0,0.86,0
"RMS1Organic.ITS.S699",14.01,34.85,26.38,0.33,3.58,13.03,5.54,1.3,0.33,11.07,3.26,8.47,7.49,0.65,4.89,7.17,3.91,0.33,1.63,0.98,0,3.26,1.3,0.33,0.65,0
"RMS1Outer.ITS.S701",30.56,25,11.11,0,0,2.78,2.78,5.56,0,11.11,8.33,5.56,25,2.78,0,2.78,0,0,2.78,0,0,0,0,0,0,0
"RO1Mineral.ITS.S761",16.49,29.38,34.02,0,3.61,17.01,4.12,0.52,0,8.25,3.61,10.82,6.7,1.03,6.7,7.22,2.06,0.52,0,0,0,6.7,3.09,1.55,0.52,0
"RO1Organic.ITS.S763",16.36,31.31,25.23,0,2.34,16.36,3.27,1.4,0,7.94,3.27,7.48,8.41,0.93,4.67,3.74,1.4,1.4,0.47,0,0,5.14,2.8,0.47,0,0
"RO1Outer.ITS.S765",31.68,21.78,15.84,0,0,1.98,6.93,0,0,2.97,15.84,8.91,23.76,2.97,0,0.99,0,0,5.94,0,0,0,0,0,3.96,0.99
"RO10Mineral.ITS.S739",19.13,36.07,36.07,0.55,3.83,15.85,9.29,0.55,0.55,8.74,3.28,14.21,6.56,0.55,7.65,10.38,2.19,0.55,0.55,0,0,5.46,0.55,0,2.19,0.55
"RO10Organic.ITS.S741",18.45,33.5,31.07,0.49,4.85,15.53,7.28,0.49,0.49,9.22,4.37,10.19,6.31,0,7.28,7.28,3.4,0.97,0,0,0,5.34,0.97,0,0.49,0
"RO10Outer.ITS.S743",30.16,17.46,22.22,0,1.59,0,3.17,0,0,4.76,12.7,12.7,25.4,3.17,0,0,1.59,1.59,12.7,0,0,0,0,0,3.17,3.17
"RO101Mineral.ITS.S705",19.84,36.96,35.02,0,4.28,15.95,7.78,0.39,0,12.84,5.84,14.4,10.12,1.56,7,11.28,3.5,0.39,0,0,0.39,3.89,0,0,0.39,0.39
"RO101Organic.ITS.S707",19.72,36.7,33.03,0.46,5.96,21.56,7.8,0,0,15.6,4.59,7.34,6.88,1.38,5.05,4.13,5.05,0.92,0.46,0,0,5.05,0.92,0,0,0
"RO101Outer.ITS.S709",10.53,15.79,15.79,0,5.26,0,0,0,0,15.79,5.26,10.53,10.53,5.26,0,0,0,0,5.26,0,0,0,0,0,0,0
"RO102Inner.ITS.S185",29.73,40.54,24.32,0,0,2.7,2.7,0,0,13.51,13.51,21.62,27.03,5.41,8.11,8.11,0,0,0,0,0,0,0,0,0,0
"RO102Mineral.ITS.S711",21.37,36.32,38.03,0.85,5.56,17.52,9.4,1.28,0.43,15.38,5.98,14.53,9.83,1.28,6.84,9.83,2.99,0.85,0,0,0.43,2.99,0.43,0.43,2.14,0
"RO102Organic.ITS.S713",16.88,30.8,34.6,0,5.06,21.52,6.33,0,0,13.08,3.8,8.86,8.02,0.84,5.06,5.06,3.8,1.27,0.42,0,0,3.38,0.84,0.42,0,0
"RO102Outer.ITS.S188",29.03,48.39,25.81,0,0,0,6.45,0,0,12.9,22.58,32.26,29.03,12.9,12.9,12.9,3.23,0,0,0,0,0,0,0,0,6.45
"RO103Inner.ITS.S715",26.67,53.33,20,0,6.67,0,0,0,0,33.33,26.67,20,13.33,6.67,0,6.67,6.67,0,0,0,0,0,0,0,0,0
"RO103Mineral.ITS.S717",18.95,36.69,35.89,0,4.44,16.13,7.66,0,0,13.31,4.03,13.31,8.47,0.81,6.05,8.06,3.23,0.81,0.4,0,0,4.84,1.21,1.21,1.21,0
"RO103Organic.ITS.S719",18,31.33,36,0,4.67,22.67,7.33,0,0,12.67,2,8,5.33,0,5.33,6,4.67,0.67,0,0,0,8,2,0.67,0,0
"RO103Outer.ITS.S721",56.67,43.33,26.67,0,6.67,0,10,6.67,0,30,30,26.67,36.67,16.67,0,0,0,3.33,3.33,0,0,0,0,0,3.33,3.33
"RO104Mineral.ITS.S723",20,34.44,33.89,0,3.89,13.89,8.89,0,0,10,4.44,14.44,9.44,0.56,8.89,10,1.67,0.56,0,0,0,3.89,1.11,1.11,1.67,0
"RO104Organic.ITS.S725",11.98,25.52,28.65,0,4.17,18.75,4.17,1.04,0,10.42,1.04,6.77,6.77,1.04,5.21,4.69,3.65,1.04,0.52,0,0,3.12,0.52,0,0,0
